"url","title","course_code","course_type","duration_months","level","awarding_body","mode_of_study","full_time_available","part_time_available","online_available","blended_available","description"
"https://sclondon.co.uk/bsc-hons-business-management-offered-with-foundation-year/","BSC (Hons) Business Management offered with Foundation Year","SCL-BSC-HONS-BUSINESS-MANAGEMENT-OFFERED-WITH-FOU","Degree",,"3","Canterbury Christ Church University &nbsp; Course Structure and Key Features &nbsp; Your Course is m","","0","0","1","0","Why Study Business Management with Foundation Year? &nbsp; Our course will introduce you to different organisations and external environments, so you can understand how they operate and managed as businesses. It is practical in nature, which allows you to begin building your know"
"https://sclondon.co.uk/btec-higher-national-certificate-1-year/","BTEC Higher National Certificate (1 Year)","SCL-BTEC-HIGHER-NATIONAL-CERTIFICATE-1-YEAR","HND","12","4","","","0","0","0","0","The HNC is a level 4 qualification delivered over 1 year. The HNC is an embedded component of the HND, however, it can be taken as a stand- alone qualification. If a student opts to take the HNC they would be eligible to gain a National Certificate after successful completion of "
"https://sclondon.co.uk/btec-higher-national-diploma-2-years/","BTEC Higher National Diploma (2 Years)","SCL-BTEC-HIGHER-NATIONAL-DIPLOMA-2-YEARS","HND","24","5","","","0","0","0","0","The HND is a level 5 qualification delivered over 2 years, the first year at level 4 and the second year at level 5. If a student opts to take the HND they would be eligible to gain a Higher National Diploma after successful completion of a minimum of 16 units.The Higher National"
"https://sclondon.co.uk/edexcel-btec-level-5-hnd-diploma-in-computing-and-systems-development/","Extended Diploma In Strategic Management and leadership (QCF) Edexcel Level 7","SCL-EXTENDED-DIPLOMA-IN-STRATEGIC-MANAGEMENT-AND","Degree",,"5",", offering academic and vocational qualifications to more than 25,000 schools, colleges, employers a","","0","0","0","0","Edexcel is the UK?s largest awarding body, offering academic and vocational qualifications to more than 25,000 schools, colleges, employers and other places of learning in the UK and in over 100 countries worldwide. Edexcel qualifications are recognised by employers and higher ed"
"https://sclondon.co.uk/oa-level-courses/","GCSE / GCE ? A LEVEL COURSES","SCL-GCSE-GCE-A-LEVEL-COURSES","Vocational",,"1",", recognized in the field of education as a highly professional and responsive organization, committ","","0","0","0","0","&nbsp; STRATFORD TUITION CENTRE &nbsp; Private Tutoring &nbsp; Our private tutoring program provides students the personal attention and focus their need for academic success in core subjects. In private (one-to-one) or small group sessions, our experienced tutors coach each stud"
"https://sclondon.co.uk/higher-national-diploma-in-international-travel-tourism-management/","Higher National Diploma in International Travel &amp; Tourism Management","SCL-HIGHER-NATIONAL-DIPLOMA-IN-INTERNATIONAL-TRAV","HND","24","4","Pearson Education Mode: Full time Duration: 2 Years Stratford College London Academic Board recommen","","1","1","1","0","Pearson BTEC HND (Level 4/5) Awarding Body: Pearson Education Mode: Full time Duration: 2 Years Stratford College London Academic Board recommends this programme specification. However, this specification is designed in relation to the UK Quality Code for Higher Education, making"
"https://sclondon.co.uk/hnchnd-administration-and-information-technology-sqa/","HNC/HND Administration and Information Technology (SQA)","SCL-HNC-HND-ADMINISTRATION-AND-INFORMATION-TECHNO","HND",,"5","&nbsp; Scottish Qualification Authority (SQA) &nbsp; Who does this qualification suit? &nbsp; The HN","","0","0","0","0","The HNC and HND in Administration and Information Technology provide candidates with a progression route into employment in a general administrative role in small to medium enterprises. It also provides opportunities to develop the skills and knowledge required for more specialis"
"https://sclondon.co.uk/hnd-hospitality-management/","HND HOSPITALITY MANAGEMENT","SCL-HND-HOSPITALITY-MANAGEMENT","HND",,"3","","","1","1","0","0","The Higher National Diploma in Hospitality Management (HND) is a vocational course. This means that not only do you learn the theoretical aspects but it also provides you with ability to relate this to the real world of work. Evaluating the application of these theories and conce"
"https://sclondon.co.uk/hnd-in-business-rqf/","HND IN BUSINESS RQF","SCL-HND-IN-BUSINESS-RQF","HND","24","5","Pearson Duration: 24 Months RQF Level: 5 Credit Value: 240 Credits Minimum Fees: Student Finance is ","","1","1","1","1","Pearson BTEC Level 5 Higher National Diploma in Business (Business Management) (RQF) Course ID --> Course Name ECLHNBM04-RQF --> Pearson BTEC Level 5 Higher National Diploma in Business (Business Management) (RQF) &nbsp; Awarding Body: Pearson Duration: 24 Months RQF Level: 5 Cre"
"https://sclondon.co.uk/hnd-in-hospitality-management/","HND in Hospitality Management","SCL-HND-IN-HOSPITALITY-MANAGEMENT","HND","24","4","an approved further education institution&nbsp;&nbsp; Related work experience&nbsp;&nbsp; An interna","","1","1","1","1","Purpose of the BTEC Higher Nationals in Hospitality Management The purpose of BTEC Higher Nationals in Hospitality Management is to develop students as professional, self-reflecting individuals able to meet the demands of employers in Hospitality Management and adapt to a constan"
